#{"config": {"calib_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "cli_overrides": ["adapt", "camera", "config", "debug_metrics", "ekf", "ema_alpha", "extrinsics", "fps", "height", "hud", "print_tilt", "ransac", "rig", "save_poses", "use_weighted_se3", "video", "width"], "config_path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "extrinsics_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "rig_path_resolved": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "runtime": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.25, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15.0}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/v2/debug_dotec_check_fixed.csv", "poses_csv": "phase_b/v2/poses_dotec_check_fixed.csv"}, "ransac": {"A_ref_px2": 12000.0, "adaptive": true, "base_rot_deg": 5.0, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5.0, "trans_max_m": 0.05}, "video": {"device": "1", "fps": 30.0, "height": 1080, "width": 1920}}, "yaml": {"bench": {"print_every": 60}, "fuse": {"axis_len_m": 0.1, "ema_alpha": 0.3, "use_weighted_se3": true}, "health": {"max_tilt_jump_deg": 15}, "hud": {"enabled": true}, "logging": {"debug_metrics_csv": "phase_b/debug_metrics.csv", "poses_csv": "phase_b/poses.csv"}, "ransac": {"A_ref_px2": 12000, "adaptive": false, "base_rot_deg": 5, "base_trans_m": 0.05, "min_inliers": 3, "rot_max_deg": 5, "trans_max_m": 0.05}, "video": {"device": 2, "fps": 30, "height": 1080, "width": 1920}}}, "files": {"camera_calib": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/calib/calib.yaml", "sha256": "c2358bacf28a6591aaf65f8d832640b19ad5b1890d970b886436236dc31287b9"}, "config": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/config.yaml", "sha256": "9c664548f0c4998345c599764857540af456008cc4bf230d90b575c908eaec28"}, "extrinsics": {"path": "/Users/Andreas/Desktop/ptl24_marker/common/extrinsics/T_WC.yaml", "sha256": "e7415bd66c3a3842c2084b1fa44211f2193186de41427a973ef5d4ea38406b81"}, "rig": {"path": "/Users/Andreas/Desktop/ptl24_marker/phase_b/rigs/cyl_dotec.yaml", "sha256": "9736191d05aabb632fd2ee895ca3674d0f4aef8ce615de526d190722fdc258ff"}}, "git_commit": null, "timestamp": 1765815025.306452}
t,fps,n_visible,n_inliers,mean_reproj,ransac_score,weight_min,weight_max,tilt_deg,mean_tag_area_px2,mean_view_cos,mean_reproj_px,ransac_trans_eff,ransac_rot_eff,n_unknown_ids,n_mirror_discards
1765815033.005873,3.754,6,6,45.137,2.46542,0.038,0.378,47.410,1903.4,0.6201,45.137,0.1255,12.554,0,0
1765815033.261293,4.296,6,6,45.147,2.46400,0.038,0.377,47.389,1903.0,0.6198,45.147,0.1256,12.556,0,0
1765815033.534110,3.762,6,6,45.129,2.46670,0.038,0.377,47.384,1903.2,0.6198,45.129,0.1256,12.555,0,0
1765815033.810698,3.781,6,6,45.117,2.46600,0.038,0.381,47.329,1902.7,0.6201,45.117,0.1256,12.557,0,0
1765815034.093798,3.704,6,6,45.134,2.46476,0.038,0.379,47.313,1902.8,0.6202,45.134,0.1256,12.556,0,0
1765815034.399562,3.326,6,6,45.137,2.46271,0.038,0.379,47.286,1903.0,0.6203,45.137,0.1256,12.556,0,0
1765815034.648323,3.317,7,7,44.943,2.62889,0.034,0.336,49.333,1844.2,0.6125,44.943,0.1148,11.479,0,0
1765815034.870522,4.352,7,7,44.938,2.63066,0.034,0.337,50.940,1844.0,0.6124,44.938,0.1148,11.480,0,0
1765815035.095843,4.274,6,6,45.086,2.46885,0.038,0.378,50.048,1900.4,0.6193,45.086,0.1256,12.564,0,0
1765815035.313174,4.346,7,7,44.951,2.62668,0.034,0.337,51.543,1845.0,0.6126,44.951,0.1148,11.477,0,0
1765815035.601485,5.005,7,7,44.919,2.62867,0.034,0.334,52.724,1844.5,0.6126,44.919,0.1148,11.478,0,0
1765815035.897782,3.290,7,7,44.954,2.62775,0.034,0.339,53.609,1844.8,0.6129,44.954,0.1148,11.477,0,0
1765815036.241093,3.474,6,6,45.075,2.46841,0.039,0.383,51.968,1900.4,0.6201,45.075,0.1256,12.564,0,0
1765815036.458263,2.889,7,7,44.954,2.62771,0.034,0.338,53.003,1845.6,0.6134,44.954,0.1147,11.475,0,0
1765815036.682094,4.347,7,7,44.970,2.62638,0.034,0.335,53.874,1845.1,0.6127,44.970,0.1148,11.476,0,0
1765815036.912398,4.318,6,6,45.083,2.46602,0.038,0.384,52.168,1901.2,0.6196,45.083,0.1256,12.562,0,0
1765815037.135671,4.859,7,7,44.951,2.62753,0.034,0.340,53.127,1844.7,0.6131,44.951,0.1148,11.477,0,0
1765815037.361610,4.445,6,6,45.115,2.46435,0.038,0.377,51.712,1902.5,0.6198,45.115,0.1256,12.557,0,0
1765815037.691171,4.168,6,6,45.144,2.46666,0.038,0.378,50.646,1903.1,0.6198,45.144,0.1256,12.555,0,0
1765815037.972328,2.989,6,6,45.147,2.46294,0.038,0.378,49.841,1902.8,0.6196,45.147,0.1256,12.556,0,0
1765815038.311588,3.763,6,6,45.146,2.46347,0.038,0.379,49.227,1902.1,0.6196,45.146,0.1256,12.559,0,0
1765815038.581510,2.913,6,6,45.133,2.46498,0.038,0.377,48.796,1901.9,0.6197,45.133,0.1256,12.559,0,0
1765815038.797637,3.936,6,6,45.140,2.46552,0.038,0.377,48.450,1902.0,0.6198,45.140,0.1256,12.559,0,0
1765815039.023638,4.229,6,6,45.140,2.46417,0.038,0.377,48.186,1901.9,0.6195,45.140,0.1256,12.559,0,0
1765815039.388043,4.293,7,7,44.999,2.62398,0.034,0.335,50.070,1846.3,0.6129,44.999,0.1147,11.472,0,0
1765815039.631882,2.714,7,7,44.926,2.62855,0.034,0.343,51.449,1843.0,0.6129,44.926,0.1148,11.483,0,0
1765815039.834626,4.372,6,6,45.086,2.47118,0.039,0.384,50.345,1899.5,0.6200,45.086,0.1257,12.567,0,0
1765815040.046754,4.915,6,6,45.074,2.46726,0.039,0.384,49.509,1900.2,0.6203,45.074,0.1256,12.565,0,0
1765815040.255936,4.805,6,6,45.075,2.46893,0.039,0.385,48.892,1900.1,0.6199,45.075,0.1257,12.565,0,0
1765815040.465056,5.199,7,7,44.953,2.62844,0.034,0.340,50.552,1845.5,0.6124,44.953,0.1147,11.475,0,0
1765815040.699083,4.361,7,7,44.960,2.62788,0.034,0.340,51.898,1845.6,0.6126,44.960,0.1147,11.475,0,0
1765815040.924078,4.211,7,1,45.130,0.18520,1.000,1.000,51.898,2361.6,0.7785,45.130,0.1148,11.475,0,0
1765815041.181242,4.264,7,7,44.936,2.62863,0.035,0.340,52.921,1845.7,0.6127,44.936,0.1147,11.474,0,0
1765815041.428471,4.350,7,7,44.922,2.62782,0.035,0.340,53.724,1844.7,0.6129,44.922,0.1148,11.477,0,0
1765815041.659100,3.734,6,6,45.086,2.46654,0.039,0.383,52.041,1901.6,0.6199,45.086,0.1256,12.560,0,0
1765815041.976001,3.876,7,7,44.935,2.62649,0.035,0.342,52.997,1844.4,0.6130,44.935,0.1148,11.478,0,0
1765815042.185578,3.619,7,7,44.941,2.62925,0.034,0.342,53.755,1843.8,0.6128,44.941,0.1148,11.480,0,0
1765815042.412400,4.344,7,7,44.937,2.62769,0.034,0.341,54.377,1844.5,0.6126,44.937,0.1148,11.478,0,0
1765815042.597183,5.173,7,7,44.936,2.62781,0.034,0.338,54.908,1844.5,0.6126,44.936,0.1148,11.478,0,0
1765815042.877056,4.860,7,7,44.934,2.62730,0.034,0.340,55.267,1844.5,0.6132,44.934,0.1148,11.478,0,0
1765815043.133360,3.709,7,7,44.953,2.62759,0.034,0.338,55.600,1844.6,0.6129,44.953,0.1148,11.478,0,0
1765815043.455128,3.799,7,7,44.931,2.62662,0.034,0.340,55.813,1844.9,0.6127,44.931,0.1148,11.477,0,0
1765815362.453963,59.876,6,6,44.926,2.50174,0.036,0.385,45.508,1876.5,0.6196,44.926,0.1264,12.644,0,0
1765815362.700330,6.010,7,1,45.295,0.18733,1.000,1.000,45.508,2371.3,0.7807,45.295,0.1146,11.462,0,0
1765815363.095154,4.131,6,6,45.098,2.46696,0.039,0.383,45.793,1901.0,0.6200,45.098,0.1256,12.562,0,0
1765815363.278995,2.822,6,6,45.121,2.46502,0.039,0.377,46.119,1899.6,0.6200,45.121,0.1257,12.567,0,0
1765815363.469228,4.934,6,6,45.031,2.46798,0.039,0.383,46.276,1895.8,0.6198,45.031,0.1258,12.580,0,0
1765815363.660458,5.156,6,6,45.061,2.46768,0.039,0.379,46.451,1895.7,0.6193,45.061,0.1258,12.580,0,0
1765815363.825142,5.944,6,6,45.044,2.47148,0.039,0.380,46.561,1896.0,0.6196,45.044,0.1258,12.579,0,0
1765815364.002865,5.856,6,6,45.048,2.47540,0.039,0.382,46.618,1896.1,0.6196,45.048,0.1258,12.578,0,0
1765815364.177134,5.688,6,6,45.025,2.47165,0.040,0.382,46.621,1897.4,0.6199,45.025,0.1257,12.574,0,0
1765815364.366607,5.217,6,6,45.078,2.46840,0.039,0.383,46.663,1898.6,0.6191,45.078,0.1257,12.570,0,0
1765815364.566892,6.079,6,6,45.115,2.46563,0.039,0.378,46.764,1899.3,0.6195,45.115,0.1257,12.568,0,0
1765815364.745025,4.904,6,6,45.069,2.46452,0.039,0.383,46.782,1898.7,0.6195,45.069,0.1257,12.570,0,0
1765815364.927062,5.985,6,6,45.049,2.46902,0.039,0.384,46.778,1897.5,0.6194,45.049,0.1257,12.574,0,0
1765815365.167272,5.033,6,6,45.054,2.46911,0.039,0.384,46.766,1897.3,0.6191,45.054,0.1257,12.575,0,0
1765815365.588011,3.735,6,6,45.066,2.46724,0.039,0.385,46.745,1896.8,0.6196,45.066,0.1258,12.576,0,0
1765815365.807887,2.504,6,6,45.052,2.46623,0.039,0.381,46.800,1897.4,0.6196,45.052,0.1257,12.574,0,0
